2025-11-12 14:20:53 | INFO     | apply_advanced_decision_engine | PID:29108 | 🧠 Enhancement appliqué - Confiance: 0.896, Urgence: immediate
2025-11-12 14:20:53 | INFO     | get_ai_signals       | PID:29108 | DIAG post-advanced: {'symbol': 'BTCUSD', 'final_action': 'sell', 'final_confidence': 0.896, 'enhanced': True, 'adaptive_threshold': 0.55}
2025-11-12 14:20:53 | INFO     | main_trading_loop    | PID:29108 | 🧩 Extension MTF technique: +0.080 -> conf=0.976
2025-11-12 14:20:53 | INFO     | main_trading_loop    | PID:29108 | 📊 BTCUSD: SELL conf=0.976 [✅ TRADE]
2025-11-12 14:20:53 | WARNING  | execute_trade        | PID:29108 | TRADING_DISABLED: kill-switch actif - ordre bloqué
2025-11-12 14:20:53 | ERROR    | main_trading_loop    | PID:29108 | ❌ Échec trade BTCUSD
2025-11-12 14:20:53 | INFO     | get_ai_signals       | PID:29108 | Meta-confidence clamp applied: raw=1.000 clamped=0.300
2025-11-12 14:20:53 | INFO     | apply_advanced_decision_engine | PID:29108 | 🧠 Enhancement appliqué - Confiance: 0.000, Urgence: soon
2025-11-12 14:20:53 | INFO     | get_ai_signals       | PID:29108 | DIAG post-advanced: {'symbol': 'ETHUSD', 'final_action': 'hold', 'final_confidence': 0.0, 'enhanced': True, 'adaptive_threshold': 0.55}
2025-11-12 14:20:53 | INFO     | main_trading_loop    | PID:29108 | 📊 ETHUSD: HOLD conf=0.000 [⏸️  SKIP]
2025-11-12 14:20:53 | INFO     | get_ai_signals       | PID:29108 | Meta-confidence clamp applied: raw=1.000 clamped=0.300
2025-11-12 14:20:53 | INFO     | apply_advanced_decision_engine | PID:29108 | 🧠 Enhancement appliqué - Confiance: 0.996, Urgence: immediate
2025-11-12 14:20:53 | INFO     | get_ai_signals       | PID:29108 | DIAG post-advanced: {'symbol': 'XAUUSD', 'final_action': 'sell', 'final_confidence': 0.996, 'enhanced': True, 'adaptive_threshold': 0.55}
2025-11-12 14:20:53 | INFO     | main_trading_loop    | PID:29108 | 🧩 Extension MTF technique: +0.080 -> conf=1.000
2025-11-12 14:20:53 | INFO     | main_trading_loop    | PID:29108 | 📊 XAUUSD: SELL conf=1.000 [✅ TRADE]
2025-11-12 14:20:53 | WARNING  | execute_trade        | PID:29108 | TRADING_DISABLED: kill-switch actif - ordre bloqué
2025-11-12 14:20:53 | ERROR    | main_trading_loop    | PID:29108 | ❌ Échec trade XAUUSD
2025-11-12 14:20:54 | INFO     | get_ai_signals       | PID:29108 | Meta-confidence clamp applied: raw=1.000 clamped=0.300
2025-11-12 14:20:54 | INFO     | apply_advanced_decision_engine | PID:29108 | 🧠 Enhancement appliqué - Confiance: 0.000, Urgence: soon
2025-11-12 14:20:54 | INFO     | get_ai_signals       | PID:29108 | DIAG post-advanced: {'symbol': 'USDCAD', 'final_action': 'hold', 'final_confidence': 0.0, 'enhanced': True, 'adaptive_threshold': 0.55}
2025-11-12 14:20:54 | INFO     | main_trading_loop    | PID:29108 | 📊 USDCAD: HOLD conf=0.000 [⏸️  SKIP]
2025-11-12 14:20:54 | INFO     | get_ai_signals       | PID:29108 | Meta-confidence clamp applied: raw=1.000 clamped=0.300
2025-11-12 14:20:54 | INFO     | apply_advanced_decision_engine | PID:29108 | 🧠 Enhancement appliqué - Confiance: 0.000, Urgence: soon
2025-11-12 14:20:54 | INFO     | get_ai_signals       | PID:29108 | DIAG post-advanced: {'symbol': 'AUDNZD', 'final_action': 'hold', 'final_confidence': 0.0, 'enhanced': True, 'adaptive_threshold': 0.55}
2025-11-12 14:20:54 | INFO     | main_trading_loop    | PID:29108 | 📊 AUDNZD: HOLD conf=0.000 [⏸️  SKIP]
2025-11-12 14:20:54 | INFO     | get_ai_signals       | PID:29108 | Meta-confidence clamp applied: raw=1.000 clamped=0.300
2025-11-12 14:20:54 | INFO     | apply_advanced_decision_engine | PID:29108 | 🧠 Enhancement appliqué - Confiance: 0.000, Urgence: immediate
2025-11-12 14:20:54 | INFO     | get_ai_signals       | PID:29108 | DIAG post-advanced: {'symbol': 'EURJPY', 'final_action': 'hold', 'final_confidence': 0.0, 'enhanced': True, 'adaptive_threshold': 0.55}
2025-11-12 14:20:54 | INFO     | main_trading_loop    | PID:29108 | 📊 EURJPY: HOLD conf=0.000 [⏸️  SKIP]
