symbol,action,entry,exit,sl,tp,pnl_usd,pnl_cost,lot,regime,result,bars_held,open_time,close_time
XAUUSD,SELL,1208.98735,1203.98366,1215.07857,1193.76857,500.37,459.6,0.1,TREND_DOWN,SL,5,2015-05-20 07:00:00,2015-05-20 12:00:00
XAUUSD,SELL,1207.31,1212.19857,1212.19857,1195.08857,-488.86,-526.83,0.1,TREND_DOWN,SL,5,2015-05-20 13:00:00,2015-05-20 18:00:00
XAUUSD,SELL,1204.45,1207.27321,1207.27321,1196.92143,-282.32,-307.97,0.1,RANGING,SL,10,2015-05-25 10:00:00,2015-05-25 20:00:00
XAUUSD,SELL,1188.29,1186.02488,1194.09857,1173.76857,226.51,183.6,0.1,TREND_DOWN,SL,11,2015-05-27 04:00:00,2015-05-27 15:00:00
XAUUSD,SELL,1182.63,1178.37626,1188.15143,1168.82643,425.37,388.86,0.1,TREND_DOWN,SL,2,2015-06-04 16:00:00,2015-06-04 18:00:00
XAUUSD,BUY,1186.43,1180.73143,1180.73143,1200.67643,-569.86,-624.89,0.1,TREND_UP,SL,3,2015-06-10 23:00:00,2015-06-11 02:00:00
XAUUSD,SELL,1178.6,1182.61714,1182.61714,1168.55714,-401.71,-461.2,0.1,TREND_DOWN,SL,1,2015-06-17 22:00:00,2015-06-17 23:00:00
XAUUSD,BUY,1199.73,1201.78221,1192.26429,1218.39429,205.22,164.67,0.1,TREND_UP,SL,15,2015-06-19 02:00:00,2015-06-19 17:00:00
XAUUSD,SELL,1185.92,1181.54167,1193.53,1166.895,437.83,394.3,0.1,TREND_DOWN,SL,14,2015-06-23 03:00:00,2015-06-23 17:00:00
XAUUSD,SELL,1178.01,1175.28183,1184.22857,1162.46357,272.82,220.98,0.1,TREND_DOWN,SL,10,2015-06-24 03:00:00,2015-06-24 13:00:00
XAUUSD,BUY,1168.4,1165.52643,1165.52643,1176.06286,-287.36,-317.32,0.1,RANGING,SL,4,2015-07-07 11:00:00,2015-07-07 15:00:00
XAUUSD,SELL,1153.91,1149.63901,1163.58714,1129.71714,384.39,360.2,0.09,TREND_DOWN,SL,4,2015-07-08 08:00:00,2015-07-08 12:00:00
XAUUSD,SELL,1155.95,1154.23581,1159.8875,1145.45,171.42,140.68,0.1,TREND_DOWN,SL,19,2015-07-14 07:00:00,2015-07-15 02:00:00
XAUUSD,SELL,1147.77,1145.84404,1153.94429,1132.33429,192.6,154.83,0.1,TREND_DOWN,SL,9,2015-07-16 05:00:00,2015-07-16 14:00:00
XAUUSD,SELL,1103.7,1100.56456,1114.06,1077.8,250.84,228.56,0.08,TREND_DOWN,SL,17,2015-07-21 07:00:00,2015-07-22 00:00:00
XAUUSD,SELL,1094.97,1089.72121,1104.90714,1070.12714,419.9,391.48,0.08,TREND_DOWN,SL,6,2015-07-22 12:00:00,2015-07-22 18:00:00
XAUUSD,SELL,1085.82,1080.75582,1097.12857,1057.54857,354.49,327.46,0.07,TREND_DOWN,SL,6,2015-07-24 11:00:00,2015-07-24 17:00:00
XAUUSD,SELL,1083.58,1090.82857,1090.82857,1065.45857,-724.86,-760.72,0.1,TREND_DOWN,SL,5,2015-07-24 17:00:00,2015-07-24 22:00:00
XAUUSD,SELL,1088.53,1094.85714,1094.85714,1072.71214,-632.71,-677.12,0.1,TREND_DOWN,SL,1,2015-07-31 01:00:00,2015-07-31 02:00:00
XAUUSD,BUY,1094.33,1084.51,1084.51,1118.88,-883.8,-914.43,0.09,RANGING,SL,19,2015-08-03 07:00:00,2015-08-04 02:00:00
XAUUSD,BUY,1094.97,1104.60319,1086.85714,1115.25214,963.32,928.62,0.1,TREND_UP,SL,7,2015-08-10 13:00:00,2015-08-10 20:00:00
XAUUSD,BUY,1158.48,1148.49429,1148.49429,1183.44429,-798.86,-826.79,0.08,TREND_UP,SL,15,2015-08-21 11:00:00,2015-08-24 02:00:00
XAUUSD,SELL,1150.49,1142.2736,1161.45857,1123.06857,657.31,629.41,0.08,RANGING,SL,5,2015-08-25 14:00:00,2015-08-25 19:00:00
XAUUSD,SELL,1138.06,1132.87657,1145.03571,1120.62071,518.34,481.7,0.1,TREND_DOWN,SL,4,2015-08-26 12:00:00,2015-08-26 16:00:00
XAUUSD,SELL,1127.3,1120.71941,1134.54143,1109.19643,658.06,624.42,0.1,TREND_DOWN,SL,10,2015-08-27 08:00:00,2015-08-27 18:00:00
XAUUSD,BUY,1141.84,1135.36857,1135.36857,1158.01857,-647.14,-680.9,0.1,TREND_UP,SL,8,2015-09-01 18:00:00,2015-09-02 02:00:00
XAUUSD,SELL,1132.2,1127.67939,1138.05143,1117.57143,452.06,421.0,0.1,TREND_DOWN,SL,8,2015-09-03 09:00:00,2015-09-03 17:00:00
XAUUSD,SELL,1107.22,1114.32,1114.32,1089.47,-710.0,-739.14,0.1,TREND_DOWN,SL,10,2015-09-10 08:00:00,2015-09-10 18:00:00
XAUUSD,BUY,1119.63,1121.68162,1109.62571,1144.64071,164.13,129.75,0.08,TREND_UP,SL,16,2015-09-17 03:00:00,2015-09-17 19:00:00
