symbol,action,entry,exit,sl,tp,pnl_usd,pnl_cost,lot,regime,result,bars_held,open_time,close_time
GBPJPY,BUY,185.509,185.71365,185.00129,186.77829,409.31,408.97,0.02,TREND_UP,SL,4,2024-01-11 06:00:00,2024-01-11 10:00:00
GBPJPY,BUY,185.655,185.20414,185.20414,186.78214,-901.72,-902.02,0.02,TREND_UP,SL,5,2024-01-11 11:00:00,2024-01-11 16:00:00
GBPJPY,SELL,184.736,185.30071,185.30071,183.32421,-564.71,-564.87,0.01,RANGING,SL,9,2024-01-13 00:00:00,2024-01-15 09:00:00
GBPJPY,BUY,185.54302,185.19143,185.19143,186.42193,-703.18,-703.56,0.02,RANGING,SL,4,2024-01-15 23:00:00,2024-01-16 03:00:00
GBPJPY,BUY,185.917,186.2111,185.43486,187.12236,588.2,587.96,0.02,RANGING,SL,4,2024-01-17 06:00:00,2024-01-17 10:00:00
GBPJPY,BUY,187.694,187.91917,187.19471,188.94221,450.33,449.98,0.02,TREND_UP,SL,18,2024-01-18 03:00:00,2024-01-18 21:00:00
GBPJPY,BUY,187.82705,187.51307,187.51307,188.66414,-941.94,-942.42,0.03,RANGING,SL,2,2024-01-25 14:00:00,2024-01-25 16:00:00
GBPJPY,BUY,188.08,187.69493,187.69493,189.10686,-770.14,-770.5,0.02,RANGING,SL,13,2024-01-26 23:00:00,2024-01-29 12:00:00
GBPJPY,SELL,187.479,187.27051,187.942,186.3215,416.99,416.59,0.02,RANGING,SL,9,2024-01-30 00:00:00,2024-01-30 09:00:00
GBPJPY,BUY,187.444,186.83471,186.83471,188.96721,-609.29,-609.45,0.01,TREND_UP,SL,12,2024-02-05 02:00:00,2024-02-05 14:00:00
GBPJPY,SELL,186.398,186.75686,186.75686,185.50086,-717.72,-718.06,0.02,RANGING,SL,12,2024-02-06 05:00:00,2024-02-06 17:00:00
GBPJPY,BUY,188.372,188.49551,188.00171,189.29771,247.02,246.73,0.02,TREND_UP,SL,6,2024-02-09 04:00:00,2024-02-09 10:00:00
GBPJPY,BUY,188.515,188.69661,188.21071,189.27571,544.83,544.38,0.03,TREND_UP,SL,16,2024-02-09 11:00:00,2024-02-12 03:00:00
GBPJPY,BUY,189.686,189.16186,189.16186,190.99636,-1048.28,-1048.6,0.02,TREND_UP,SL,9,2024-02-14 01:00:00,2024-02-14 10:00:00
GBPJPY,SELL,189.254,189.00773,189.714,188.104,492.54,492.2,0.02,TREND_UP,SL,3,2024-02-14 16:00:00,2024-02-14 19:00:00
GBPJPY,SELL,189.11696,188.72538,189.62729,187.84129,783.16,782.81,0.02,RANGING,SL,7,2024-02-14 22:00:00,2024-02-15 05:00:00
GBPJPY,BUY,188.952,189.16418,188.608,189.812,424.36,424.12,0.02,RANGING,SL,4,2024-02-16 11:00:00,2024-02-16 15:00:00
GBPJPY,BUY,190.553,190.86328,190.15357,191.55157,620.55,620.32,0.02,TREND_UP,SL,7,2024-02-23 05:00:00,2024-02-23 12:00:00
GBPJPY,BUY,191.052,190.65857,190.65857,192.03557,-786.86,-787.78,0.02,RANGING,SL,10,2024-02-27 01:00:00,2024-02-27 11:00:00
GBPJPY,SELL,189.981,189.605,190.57929,188.48529,376.0,375.84,0.01,RANGING,SL,4,2024-02-29 13:00:00,2024-02-29 17:00:00
GBPJPY,SELL,189.327,189.84286,189.84286,188.03736,-1031.72,-1032.15,0.02,TREND_DOWN,SL,4,2024-03-01 00:00:00,2024-03-01 04:00:00
GBPJPY,BUY,190.896,190.56843,190.56843,191.71493,-982.71,-983.94,0.03,TREND_UP,SL,9,2024-03-05 01:00:00,2024-03-05 10:00:00
GBPJPY,SELL,189.121,188.56557,189.84914,187.30064,555.43,555.31,0.01,TREND_DOWN,SL,20,2024-03-07 17:00:00,2024-03-08 13:00:00
GBPJPY,SELL,188.264,188.69714,188.69714,187.18114,-866.28,-866.59,0.02,TREND_DOWN,SL,4,2024-03-12 02:00:00,2024-03-12 06:00:00
GBPJPY,BUY,189.1,189.33131,188.68589,190.20429,462.61,462.2,0.02,RANGING,SL,12,2024-03-14 00:00:00,2024-03-14 12:00:00
GBPJPY,BUY,189.725,189.95464,189.28986,190.81286,459.29,455.71,0.02,RANGING,SL,4,2024-03-18 01:00:00,2024-03-18 05:00:00
GBPJPY,BUY,189.709,190.06041,189.26886,190.80936,702.82,702.49,0.02,RANGING,SL,6,2024-03-18 06:00:00,2024-03-18 12:00:00
GBPJPY,BUY,192.387,192.61796,191.96286,193.44736,461.93,461.6,0.02,TREND_UP,SL,7,2024-03-20 12:00:00,2024-03-20 19:00:00
GBPJPY,BUY,192.685,193.42771,192.16929,193.97429,1485.41,1484.85,0.02,TREND_UP,SL,3,2024-03-20 22:00:00,2024-03-21 01:00:00
GBPJPY,SELL,190.751,190.47145,191.263,189.471,559.1,558.64,0.02,TREND_DOWN,SL,4,2024-03-23 00:00:00,2024-03-25 04:00:00
GBPJPY,SELL,190.762,191.21386,191.21386,189.63236,-903.72,-904.06,0.02,TREND_DOWN,SL,10,2024-03-25 05:00:00,2024-03-25 15:00:00
GBPJPY,BUY,191.304,191.47327,190.92386,192.25436,338.54,337.93,0.02,RANGING,SL,10,2024-03-26 01:00:00,2024-03-26 11:00:00
GBPJPY,SELL,190.405,190.29052,190.77543,189.47893,228.96,228.62,0.02,RANGING,SL,30,2024-04-02 06:00:00,2024-04-03 12:00:00
GBPJPY,SELL,191.092,191.63214,191.63214,189.74164,-1080.28,-1080.61,0.02,RANGING,SL,18,2024-04-05 12:00:00,2024-04-08 06:00:00
GBPJPY,BUY,192.215,192.29045,192.018,192.7075,301.81,301.25,0.04,TREND_UP,SL,2,2024-04-09 12:00:00,2024-04-09 14:00:00
GBPJPY,SELL,191.873,192.38171,192.38171,190.60121,-1017.42,-1017.67,0.02,RANGING,SL,5,2024-04-11 08:00:00,2024-04-11 13:00:00
GBPJPY,SELL,190.833,191.566,191.566,189.0005,-733.0,-733.2,0.01,TREND_DOWN,SL,7,2024-04-13 01:00:00,2024-04-15 08:00:00
GBPJPY,BUY,191.882,192.12574,191.21343,193.55343,243.74,243.56,0.01,RANGING,SL,15,2024-04-15 22:00:00,2024-04-16 13:00:00
GBPJPY,BUY,192.319,192.63531,191.90614,193.35114,632.61,632.29,0.02,RANGING,SL,4,2024-04-18 17:00:00,2024-04-18 21:00:00
GBPJPY,SELL,191.522,191.07721,192.07714,190.13414,889.58,889.24,0.02,RANGING,SL,5,2024-04-22 08:00:00,2024-04-22 13:00:00
GBPJPY,BUY,192.781,192.49829,192.49829,193.48779,-848.13,-848.61,0.03,TREND_UP,SL,1,2024-04-24 11:00:00,2024-04-24 12:00:00
GBPJPY,BUY,194.248,193.68571,193.68571,195.65371,-562.29,-562.45,0.01,TREND_UP,SL,1,2024-04-25 17:00:00,2024-04-25 18:00:00
GBPJPY,SELL,196.269,193.23971,197.48071,193.23971,3029.29,3029.14,0.01,TREND_UP,TP,46,2024-04-30 03:00:00,2024-05-02 02:00:00
GBPJPY,SELL,192.005,191.58612,192.85886,189.87036,418.88,418.74,0.01,TREND_DOWN,SL,10,2024-05-03 10:00:00,2024-05-03 20:00:00
GBPJPY,BUY,193.356,193.64826,192.92629,194.43029,584.52,584.21,0.02,TREND_UP,SL,8,2024-05-06 21:00:00,2024-05-07 05:00:00
GBPJPY,SELL,193.491,193.88143,193.88143,192.51493,-780.86,-781.19,0.02,RANGING,SL,7,2024-05-08 04:00:00,2024-05-08 11:00:00
GBPJPY,BUY,194.317,193.94371,193.94371,195.25021,-746.58,-747.81,0.02,RANGING,SL,3,2024-05-09 02:00:00,2024-05-09 05:00:00
GBPJPY,BUY,196.903,196.61629,196.61629,197.61979,-860.13,-860.58,0.03,TREND_UP,SL,3,2024-05-15 09:00:00,2024-05-15 12:00:00
GBPJPY,BUY,197.837,197.416,197.416,198.8895,-842.0,-842.3,0.02,TREND_UP,SL,4,2024-05-20 08:00:00,2024-05-20 12:00:00
GBPJPY,BUY,198.593,198.74023,198.25071,199.44871,294.46,294.14,0.02,TREND_UP,SL,22,2024-05-21 11:00:00,2024-05-22 09:00:00
