symbol,action,entry,exit,sl,tp,pnl_usd,pnl_cost,lot,regime,result,bars_held,open_time,close_time
BTCUSD,SELL,63771.64,64534.22857,64534.22857,61865.16857,-762.59,-769.18,0.01,TREND_DOWN,SL,5,2024-07-19 13:00:00,2024-07-19 18:00:00
BTCUSD,BUY,66998.24,67280.76089,66348.55857,68622.44357,282.52,273.93,0.01,TREND_UP,SL,12,2024-07-21 09:00:00,2024-07-21 21:00:00
BTCUSD,SELL,65907.54,65625.35249,67012.18,63145.94,282.19,281.04,0.01,TREND_DOWN,SL,13,2024-07-24 04:00:00,2024-07-24 17:00:00
BTCUSD,BUY,67328.14,67874.41285,66545.04143,69285.88643,546.27,535.6,0.01,TREND_UP,SL,3,2024-07-26 22:00:00,2024-07-27 01:00:00
BTCUSD,SELL,67518.04,68581.35714,68581.35714,64859.74714,-1063.32,-1072.06,0.01,TREND_UP,SL,14,2024-07-28 15:00:00,2024-07-29 05:00:00
BTCUSD,BUY,69237.64,68263.12143,68263.12143,71673.93643,-974.52,-980.62,0.01,TREND_UP,SL,1,2024-07-29 18:00:00,2024-07-29 19:00:00
BTCUSD,SELL,66901.74,66466.32229,67859.74286,64506.73286,435.42,434.03,0.01,TREND_DOWN,SL,6,2024-07-30 12:00:00,2024-07-30 18:00:00
BTCUSD,SELL,64460.04,62803.72616,65604.52857,61598.81857,1656.31,1650.68,0.01,TREND_DOWN,SL,8,2024-08-01 13:00:00,2024-08-01 21:00:00
BTCUSD,SELL,60711.04,60317.1795,61994.60429,57502.12929,393.86,392.92,0.01,TREND_DOWN,SL,10,2024-08-04 05:00:00,2024-08-04 15:00:00
BTCUSD,BUY,56797.24,55499.31857,55499.31857,60042.04357,-1297.92,-1306.42,0.01,TREND_UP,SL,11,2024-08-07 11:00:00,2024-08-07 22:00:00
BTCUSD,BUY,60843.64,61212.68116,59350.79714,64575.74714,369.04,360.37,0.01,TREND_UP,SL,32,2024-08-09 11:00:00,2024-08-10 20:00:00
BTCUSD,SELL,58627.84,59921.18143,59921.18143,55394.48643,-1293.34,-1295.48,0.01,TREND_DOWN,SL,7,2024-08-12 12:00:00,2024-08-12 19:00:00
BTCUSD,BUY,60788.24,61171.07105,59698.10571,63513.57571,382.83,381.45,0.01,TREND_UP,SL,7,2024-08-14 10:00:00,2024-08-14 17:00:00
BTCUSD,SELL,58332.24,59214.96571,59214.96571,56125.42571,-882.73,-884.97,0.01,TREND_DOWN,SL,4,2024-08-15 13:00:00,2024-08-15 17:00:00
BTCUSD,SELL,57829.34,58803.67571,58803.67571,55393.50071,-974.34,-978.0,0.01,TREND_DOWN,SL,1,2024-08-16 17:00:00,2024-08-16 18:00:00
BTCUSD,BUY,59387.04,59552.7067,58943.81143,60495.11143,165.67,160.05,0.01,TREND_UP,SL,8,2024-08-17 22:00:00,2024-08-18 07:00:00
BTCUSD,SELL,58369.94,59178.33571,59178.33571,56348.95071,-808.4,-815.14,0.01,TREND_DOWN,SL,5,2024-08-19 17:00:00,2024-08-19 22:00:00
BTCUSD,BUY,60482.74,59695.55286,59695.55286,62450.70786,-787.19,-794.03,0.01,TREND_UP,SL,3,2024-08-20 16:00:00,2024-08-20 19:00:00
BTCUSD,SELL,59239.74,60302.37429,60302.37429,56583.15429,-1062.63,-1069.61,0.01,TREND_UP,SL,17,2024-08-21 06:00:00,2024-08-21 23:00:00
BTCUSD,BUY,60933.84,61197.66384,59801.36143,63765.03643,263.82,261.48,0.01,TREND_UP,SL,28,2024-08-22 12:00:00,2024-08-23 16:00:00
BTCUSD,BUY,64127.84,64367.29314,63521.63571,65643.35071,239.45,227.49,0.01,TREND_UP,SL,14,2024-08-25 01:00:00,2024-08-25 16:00:00
BTCUSD,SELL,60154.14,59574.99709,61671.4,56360.99,579.14,572.97,0.01,TREND_DOWN,SL,5,2024-08-28 14:00:00,2024-08-28 19:00:00
BTCUSD,SELL,59146.14,58781.80264,60418.79857,55964.49357,364.34,358.24,0.01,TREND_DOWN,SL,18,2024-08-28 21:00:00,2024-08-29 15:00:00
BTCUSD,SELL,59354.74,58623.26755,60073.71143,57557.31143,731.47,726.46,0.01,RANGING,SL,4,2024-08-30 16:00:00,2024-08-30 20:00:00
BTCUSD,BUY,59091.74,58710.94571,58710.94571,60043.72571,-380.79,-394.35,0.01,TREND_DOWN,SL,7,2024-08-31 15:00:00,2024-08-31 22:00:00
BTCUSD,BUY,59063.84,58389.50429,58389.50429,60749.67929,-674.34,-676.92,0.01,TREND_UP,SL,9,2024-09-03 09:00:00,2024-09-03 18:00:00
BTCUSD,SELL,58125.84,57578.60804,58958.68429,56043.72929,547.23,538.09,0.01,TREND_UP,SL,4,2024-09-04 01:00:00,2024-09-04 05:00:00
BTCUSD,BUY,57661.14,56683.28286,56683.28286,60105.78286,-977.86,-985.72,0.01,TREND_DOWN,SL,4,2024-09-05 07:00:00,2024-09-05 11:00:00
BTCUSD,SELL,53777.04,55061.63714,55061.63714,50565.54714,-1284.6,-1296.38,0.01,TREND_DOWN,SL,38,2024-09-07 08:00:00,2024-09-09 03:00:00
BTCUSD,BUY,56734.54,57095.97579,55601.02429,59568.32929,361.44,351.22,0.01,TREND_UP,SL,9,2024-09-10 07:00:00,2024-09-10 16:00:00
BTCUSD,BUY,57979.24,58330.36044,57279.63286,59728.25786,351.12,348.5,0.01,TREND_UP,SL,21,2024-09-12 14:00:00,2024-09-13 11:00:00
BTCUSD,BUY,59888.34,60094.03319,59238.83714,61512.09714,205.69,194.11,0.01,TREND_UP,SL,19,2024-09-14 10:00:00,2024-09-15 07:00:00
BTCUSD,SELL,58862.44,58236.4996,59657.73429,56874.20429,625.94,615.88,0.01,TREND_DOWN,SL,7,2024-09-16 12:00:00,2024-09-16 19:00:00
BTCUSD,BUY,60189.64,60529.64967,58994.65429,63177.10429,340.01,327.9,0.01,TREND_UP,SL,12,2024-09-18 05:00:00,2024-09-18 17:00:00
BTCUSD,SELL,62964.74,63490.41714,63490.41714,61650.54714,-525.68,-537.41,0.01,RANGING,SL,16,2024-09-21 11:00:00,2024-09-22 04:00:00
BTCUSD,SELL,63289.84,62916.75039,63810.26393,61902.04286,373.09,367.33,0.01,TREND_UP,SL,4,2024-09-24 04:00:00,2024-09-24 08:00:00
BTCUSD,SELL,63394.44,63016.57268,64026.82143,61813.48643,377.87,373.45,0.01,TREND_UP,SL,4,2024-09-26 02:00:00,2024-09-26 06:00:00
BTCUSD,BUY,64662.94,65122.51472,63668.88143,67148.08643,459.57,448.91,0.01,TREND_UP,SL,10,2024-09-27 00:00:00,2024-09-27 10:00:00
BTCUSD,BUY,65443.34,66170.47063,64733.07143,67219.01143,727.13,721.99,0.01,TREND_UP,SL,5,2024-09-27 15:00:00,2024-09-27 20:00:00
BTCUSD,SELL,65687.44,65502.23107,66061.11,64753.265,185.21,169.13,0.01,TREND_UP,SL,12,2024-09-29 00:00:00,2024-09-29 13:00:00
BTCUSD,SELL,63785.84,63075.4765,64665.71571,61586.15071,710.36,699.15,0.01,TREND_DOWN,SL,4,2024-10-01 01:00:00,2024-10-01 05:00:00
BTCUSD,SELL,63435.04,62716.07798,64272.58286,61341.18286,718.96,715.88,0.01,TREND_DOWN,SL,13,2024-10-01 06:00:00,2024-10-01 19:00:00
BTCUSD,SELL,61743.04,61099.84302,63257.10571,57957.87571,643.2,633.29,0.01,TREND_DOWN,SL,10,2024-10-02 07:00:00,2024-10-02 17:00:00
BTCUSD,SELL,60720.74,60073.39888,61562.19714,58617.09714,647.34,644.93,0.01,TREND_DOWN,SL,3,2024-10-03 16:00:00,2024-10-03 19:00:00
BTCUSD,BUY,62042.04,62218.01537,61216.66429,64105.47929,175.98,173.46,0.01,TREND_UP,SL,18,2024-10-05 04:00:00,2024-10-06 03:00:00
BTCUSD,BUY,63174.94,63455.93335,62430.48,65036.09,280.99,274.61,0.01,TREND_UP,SL,5,2024-10-07 14:00:00,2024-10-07 19:00:00
BTCUSD,SELL,62486.14,62043.46714,63299.68286,60452.28286,442.67,436.0,0.01,RANGING,SL,6,2024-10-08 15:00:00,2024-10-08 21:00:00
BTCUSD,SELL,62221.74,61870.78117,62582.6775,61259.24,350.96,339.58,0.01,TREND_DOWN,SL,4,2024-10-09 14:00:00,2024-10-09 18:00:00
BTCUSD,SELL,60896.84,59063.82571,61630.04571,59063.82571,1833.01,1821.21,0.01,TREND_DOWN,TP,13,2024-10-10 10:00:00,2024-10-10 23:00:00
BTCUSD,BUY,63013.84,63204.93449,62511.02,64270.89,191.09,185.81,0.01,TREND_UP,SL,16,2024-10-12 21:00:00,2024-10-13 14:00:00
BTCUSD,BUY,65833.74,66117.58901,64921.93857,68113.24357,283.85,276.18,0.01,TREND_UP,SL,12,2024-10-15 06:00:00,2024-10-15 18:00:00
BTCUSD,BUY,67010.44,68227.75475,66059.03,69388.965,1217.31,1212.85,0.01,TREND_UP,SL,6,2024-10-16 11:00:00,2024-10-16 17:00:00
BTCUSD,BUY,68377.74,68560.64749,67605.9,70307.34,182.91,180.97,0.01,TREND_UP,SL,16,2024-10-19 01:00:00,2024-10-19 19:00:00
BTCUSD,SELL,68194.64,68070.23491,68541.51714,67327.44714,124.41,119.49,0.01,TREND_UP,SL,20,2024-10-19 20:00:00,2024-10-20 17:00:00
BTCUSD,SELL,67740.04,66677.05902,68662.48571,65433.92571,1062.98,1057.62,0.01,RANGING,SL,6,2024-10-22 00:00:00,2024-10-22 06:00:00
BTCUSD,SELL,67487.74,67104.0857,68478.8,65010.09,383.65,379.17,0.01,TREND_DOWN,SL,8,2024-10-22 06:00:00,2024-10-22 14:00:00
BTCUSD,SELL,67015.76,66821.36391,67810.92571,65027.84571,194.4,171.96,0.01,TREND_DOWN,SL,10,2024-10-26 14:00:00,2024-10-27 00:00:00
BTCUSD,BUY,67873.76,68544.95259,67317.71,69263.885,671.19,655.37,0.01,TREND_UP,SL,3,2024-10-28 09:00:00,2024-10-28 12:00:00
BTCUSD,BUY,72252.66,72669.76171,71321.30714,74581.04214,417.1,410.72,0.01,TREND_UP,SL,23,2024-10-30 12:00:00,2024-10-31 11:00:00
BTCUSD,SELL,69542.16,70450.31286,70450.31286,67271.77786,-908.15,-912.57,0.01,TREND_DOWN,SL,3,2024-11-01 13:00:00,2024-11-01 16:00:00
BTCUSD,SELL,69486.26,68165.71714,70014.47714,68165.71714,1320.54,1300.19,0.01,TREND_DOWN,TP,5,2024-11-03 00:00:00,2024-11-03 06:00:00
BTCUSD,SELL,68327.06,69235.51714,69235.51714,66055.91714,-908.46,-923.29,0.01,TREND_DOWN,SL,4,2024-11-03 20:00:00,2024-11-04 00:00:00
BTCUSD,BUY,68803.16,68148.32536,68148.32536,70549.38571,-654.83,-659.17,0.01,TREND_DOWN,SL,6,2024-11-04 13:00:00,2024-11-04 19:00:00
BTCUSD,BUY,69553.24,70930.85786,68206.72714,72919.52214,1377.62,1356.72,0.01,TREND_UP,SL,3,2024-11-06 01:00:00,2024-11-06 04:00:00
BTCUSD,BUY,76157.16,76729.61046,75187.00143,78582.55643,572.45,566.95,0.01,TREND_UP,SL,12,2024-11-08 10:00:00,2024-11-08 22:00:00
BTCUSD,BUY,76433.77,76041.12464,76041.12464,77480.82429,-392.65,-414.59,0.01,TREND_UP,SL,6,2024-11-09 13:00:00,2024-11-09 19:00:00
BTCUSD,BUY,79775.77,81132.8618,78466.69,83048.47,1357.09,1354.0,0.01,TREND_UP,SL,4,2024-11-10 22:00:00,2024-11-11 02:00:00
BTCUSD,BUY,91222.84,90254.22,90254.22,93644.39,-968.62,-977.15,0.01,TREND_UP,SL,4,2024-11-16 14:00:00,2024-11-16 18:00:00
BTCUSD,BUY,98664.57,97509.52429,97509.52429,101552.18429,-1155.05,-1157.07,0.01,TREND_UP,SL,1,2024-11-22 15:00:00,2024-11-22 16:00:00
BTCUSD,SELL,98067.34,96605.48284,98939.29714,95887.44714,1461.86,1448.84,0.01,RANGING,SL,15,2024-11-24 00:00:00,2024-11-24 16:00:00
BTCUSD,BUY,97965.67,96827.41286,96827.41286,100811.31286,-1138.26,-1143.52,0.01,TREND_DOWN,SL,2,2024-11-25 15:00:00,2024-11-25 17:00:00
BTCUSD,BUY,95497.67,96564.81727,94068.49857,99070.59857,1067.15,1065.41,0.01,TREND_UP,SL,22,2024-11-28 08:00:00,2024-11-29 06:00:00
BTCUSD,BUY,97012.17,97399.46949,95689.53429,100318.75929,387.3,382.56,0.01,TREND_UP,SL,16,2024-11-29 20:00:00,2024-11-30 12:00:00
BTCUSD,SELL,96595.64,95945.46277,97426.26857,94519.06857,650.18,635.34,0.01,TREND_UP,SL,14,2024-11-30 15:00:00,2024-12-01 06:00:00
BTCUSD,SELL,99938.74,99260.88214,100968.14,97365.24,677.86,671.61,0.01,TREND_UP,SL,11,2024-12-08 00:00:00,2024-12-08 12:00:00
BTCUSD,BUY,100544.87,101147.47663,99020.36,104356.145,602.61,599.71,0.01,TREND_UP,SL,8,2024-12-12 09:00:00,2024-12-12 17:00:00
BTCUSD,SELL,100258.77,101259.92714,101259.92714,97755.87714,-1001.16,-1003.65,0.01,TREND_DOWN,SL,2,2024-12-13 16:00:00,2024-12-13 18:00:00
BTCUSD,BUY,101682.64,102508.53714,100421.32714,104835.92214,825.9,822.25,0.01,TREND_UP,SL,23,2024-12-14 08:00:00,2024-12-15 08:00:00
BTCUSD,BUY,106489.87,107093.89528,105170.40286,109788.53786,604.03,599.73,0.01,TREND_UP,SL,4,2024-12-17 09:00:00,2024-12-17 13:00:00
BTCUSD,BUY,98074.54,96787.14,96787.14,101293.04,-1287.4,-1291.92,0.01,TREND_DOWN,SL,3,2024-12-21 13:00:00,2024-12-21 16:00:00
BTCUSD,SELL,96692.64,95487.26857,98079.41143,93225.71143,1205.37,1200.69,0.01,TREND_UP,SL,9,2024-12-22 09:00:00,2024-12-22 19:00:00
BTCUSD,BUY,98223.97,98934.7315,96837.08857,101691.17357,710.76,707.44,0.01,TREND_UP,SL,6,2024-12-25 08:00:00,2024-12-25 14:00:00
BTCUSD,SELL,96459.07,95726.84429,97937.91,92761.97,732.23,728.85,0.01,TREND_DOWN,SL,6,2024-12-26 19:00:00,2024-12-27 01:00:00
BTCUSD,SELL,95735.07,95007.12085,97052.96571,92440.33071,727.95,724.78,0.01,TREND_DOWN,SL,9,2024-12-27 02:00:00,2024-12-27 11:00:00
BTCUSD,SELL,94569.34,94131.58704,95518.16857,92197.26857,437.75,433.25,0.01,TREND_DOWN,SL,33,2024-12-28 08:00:00,2024-12-29 18:00:00
BTCUSD,SELL,93524.07,92903.83051,94733.83143,90499.66643,620.24,613.52,0.01,TREND_DOWN,SL,9,2024-12-30 08:00:00,2024-12-30 17:00:00
BTCUSD,BUY,96412.67,97213.40684,95182.68429,99487.63429,800.74,795.32,0.01,TREND_UP,SL,2,2025-01-02 18:00:00,2025-01-02 20:00:00
BTCUSD,BUY,97953.14,98387.83742,96990.53,100359.665,434.7,432.16,0.01,TREND_UP,SL,11,2025-01-04 07:00:00,2025-01-05 00:00:00
BTCUSD,BUY,98952.47,99370.64367,97900.85143,101581.51643,418.17,414.47,0.01,TREND_UP,SL,5,2025-01-06 12:00:00,2025-01-06 17:00:00
BTCUSD,BUY,101594.87,100355.93714,100355.93714,104692.20214,-1238.93,-1242.78,0.01,TREND_UP,SL,10,2025-01-07 07:00:00,2025-01-07 17:00:00
BTCUSD,SELL,94348.54,93823.74622,95009.01143,92697.36143,524.79,519.56,0.01,TREND_UP,SL,18,2025-01-11 18:00:00,2025-01-12 13:00:00
BTCUSD,BUY,99422.97,97935.53714,97935.53714,103141.55214,-1487.43,-1492.75,0.01,TREND_UP,SL,11,2025-01-16 06:00:00,2025-01-16 17:00:00
BTCUSD,SELL,104601.44,105303.86857,105303.86857,102728.29714,-702.43,-755.64,0.01,TREND_UP,SL,11,2025-01-25 19:00:00,2025-01-26 07:00:00
BTCUSD,BUY,102538.37,103335.27133,101185.09143,105921.56643,796.9,763.6,0.01,TREND_DOWN,SL,4,2025-01-28 15:00:00,2025-01-28 19:00:00
BTCUSD,BUY,104958.34,105802.11419,103791.21429,107876.15429,843.77,810.8,0.01,TREND_UP,SL,3,2025-01-30 15:00:00,2025-01-30 18:00:00
BTCUSD,BUY,105507.47,104234.77571,104234.77571,108689.20571,-1272.69,-1306.23,0.01,TREND_UP,SL,8,2025-01-30 21:00:00,2025-01-31 05:00:00
BTCUSD,SELL,102201.64,101061.61036,103062.25429,100050.10429,1140.03,1086.5,0.01,TREND_DOWN,SL,4,2025-02-01 20:00:00,2025-02-02 00:00:00
BTCUSD,SELL,97675.87,99002.79036,99002.79036,94137.41571,-1326.92,-1360.44,0.01,TREND_DOWN,SL,4,2025-02-05 13:00:00,2025-02-05 17:00:00
BTCUSD,SELL,96311.34,96979.73357,96979.73357,94528.95714,-668.39,-721.71,0.01,TREND_DOWN,SL,8,2025-02-08 20:00:00,2025-02-09 05:00:00
BTCUSD,BUY,97439.17,98165.995,96205.66429,100522.93429,726.82,693.33,0.01,TREND_UP,SL,13,2025-02-10 20:00:00,2025-02-11 09:00:00
BTCUSD,SELL,96001.27,95352.30023,97421.98286,92449.48786,648.97,615.65,0.01,RANGING,SL,7,2025-02-12 03:00:00,2025-02-12 10:00:00
BTCUSD,SELL,96013.47,95653.50781,97266.44571,92881.03071,359.96,327.21,0.01,TREND_DOWN,SL,6,2025-02-12 10:00:00,2025-02-12 16:00:00
BTCUSD,SELL,95919.27,97131.85571,97131.85571,92887.80571,-1212.59,-1245.64,0.01,TREND_UP,SL,9,2025-02-13 21:00:00,2025-02-14 06:00:00
BTCUSD,BUY,96828.77,97319.13194,96085.09857,98687.94857,490.36,457.69,0.01,RANGING,SL,4,2025-02-14 14:00:00,2025-02-14 18:00:00
BTCUSD,BUY,97652.74,97172.51821,97172.51821,98933.33143,-480.22,-533.66,0.01,TREND_UP,SL,17,2025-02-15 16:00:00,2025-02-16 10:00:00
BTCUSD,SELL,95695.07,96352.04964,96352.04964,93943.12429,-656.98,-690.48,0.01,TREND_DOWN,SL,3,2025-02-18 13:00:00,2025-02-18 16:00:00
BTCUSD,BUY,95701.37,96209.97013,94860.26286,97804.13786,508.6,475.86,0.01,RANGING,SL,4,2025-02-19 17:00:00,2025-02-19 21:00:00
BTCUSD,BUY,96902.07,97664.47795,96140.56571,98805.83071,762.41,729.57,0.01,TREND_UP,SL,3,2025-02-20 17:00:00,2025-02-20 20:00:00
BTCUSD,BUY,98090.17,98658.43356,97108.32286,100544.78786,568.26,535.68,0.01,TREND_UP,SL,7,2025-02-21 06:00:00,2025-02-21 13:00:00
BTCUSD,SELL,96451.44,96227.18898,97758.99571,93182.55071,224.25,171.1,0.01,TREND_DOWN,SL,23,2025-02-22 08:00:00,2025-02-23 08:00:00
BTCUSD,SELL,95717.44,96277.91714,96277.91714,94316.24714,-560.48,-614.03,0.01,RANGING,SL,4,2025-02-23 23:00:00,2025-02-24 03:00:00
BTCUSD,BUY,85682.39,86100.59046,84771.78571,87958.90071,418.2,364.01,0.01,TREND_UP,SL,7,2025-03-02 11:00:00,2025-03-02 18:00:00
BTCUSD,SELL,86064.99,85555.12058,87540.74857,82375.59357,509.87,446.59,0.01,TREND_DOWN,SL,20,2025-03-08 13:00:00,2025-03-09 14:00:00
BTCUSD,BUY,82444.27,82907.62882,81412.14893,85196.59286,463.36,430.42,0.01,TREND_UP,SL,2,2025-03-12 14:00:00,2025-03-12 16:00:00
BTCUSD,BUY,83132.37,82265.95179,82265.95179,85442.81857,-866.42,-899.47,0.01,TREND_UP,SL,2,2025-03-13 14:00:00,2025-03-13 16:00:00
BTCUSD,BUY,83922.3,84350.58886,82515.07857,87440.35357,428.29,374.59,0.01,TREND_UP,SL,9,2025-03-15 03:00:00,2025-03-15 12:00:00
BTCUSD,SELL,82257.57,83598.64,83598.64,78904.895,-1341.07,-1390.14,0.01,TREND_DOWN,SL,15,2025-03-18 23:00:00,2025-03-19 14:00:00
