timestamp,symbol,direction,lot,ret
2025-12-29T01:09:34.318000,GBPUSD,1,495413.25,10014
2025-12-29T01:09:34.318000,USDJPY,-1,773221.18,10014
2025-12-29T01:09:34.318000,USDCAD,1,677428.08,10014
2025-12-29T01:09:34.318000,AUDUSD,1,495413.25,10014
2025-12-29T01:09:34.329000,NZDUSD,1,495413.25,10014
2025-12-29T01:09:34.332000,USDCHF,-1,390920.69,10014
2025-12-29T01:09:34.339000,US500.cash,1,49541324.99,10014
2025-12-29T01:09:39.348000,EURUSD,1,495413.25,10014
2025-12-29T01:09:39.348000,GBPUSD,1,495413.25,10014
2025-12-29T01:09:39.348000,USDJPY,-1,773245.95,10014
2025-12-29T01:09:39.354000,USDCAD,1,677413.22,10014
2025-12-29T01:09:39.358000,AUDUSD,1,495413.25,10014
2025-12-29T01:09:39.363000,NZDUSD,1,495413.25,10014
2025-12-29T01:09:39.365000,USDCHF,-1,390915.73,10014
2025-12-29T01:09:39.372000,US500.cash,1,49541324.99,10014
2025-12-29T01:09:44.373000,EURUSD,1,495413.25,10014
2025-12-29T01:09:44.373000,USDJPY,-1,773241.0,10014
2025-12-29T01:09:44.373000,USDCAD,1,677428.08,10014
2025-12-29T01:09:44.373000,AUDUSD,1,495413.25,10014
2025-12-29T01:09:44.373000,NZDUSD,1,495413.25,10014
2025-12-29T01:09:44.383000,USDCHF,-1,390925.64,10014
2025-12-29T01:09:44.386000,XAUUSD,-1,495413.25,10014
2025-12-29T01:09:44.389000,US500.cash,1,49541324.99,10014
2025-12-29T01:09:49.394000,EURUSD,1,495413.25,10014
2025-12-29T01:09:49.394000,GBPUSD,1,495413.25,10014
2025-12-29T01:09:49.394000,USDJPY,-1,773236.05,10014
2025-12-29T01:09:49.394000,USDCAD,1,677418.17,10014
2025-12-29T01:09:49.394000,NZDUSD,1,495413.25,10014
2025-12-29T01:09:49.394000,USDCHF,-1,390930.6,10014
2025-12-29T01:09:49.407000,XAUUSD,-1,495413.25,10014
2025-12-29T01:09:49.413000,US500.cash,1,49541324.99,10014
2025-12-29T01:09:54.416000,EURUSD,1,495413.25,10014
2025-12-29T01:09:54.419000,GBPUSD,1,495413.25,10014
2025-12-29T01:09:54.419000,USDJPY,-1,773300.45,10014
2025-12-29T01:09:54.419000,USDCAD,1,677418.17,10014
2025-12-29T01:09:54.426000,NZDUSD,1,495413.25,10014
2025-12-29T01:09:54.427000,USDCHF,-1,390930.6,10014
2025-12-29T01:09:54.436000,XAUUSD,-1,495413.25,10014
2025-12-29T01:09:54.444000,US500.cash,1,49541324.99,10014
2025-12-29T01:09:59.448000,EURUSD,1,495413.25,10014
2025-12-29T01:09:59.448000,GBPUSD,1,495413.25,10014
2025-12-29T01:09:59.448000,USDJPY,-1,773300.45,10014
2025-12-29T01:09:59.448000,USDCAD,1,677413.22,10014
2025-12-29T01:09:59.458000,NZDUSD,1,495413.25,10014
2025-12-29T01:09:59.461000,USDCHF,-1,390940.5,10014
2025-12-29T01:09:59.464000,XAUUSD,-1,495413.25,10014
2025-12-29T01:09:59.468000,US500.cash,1,49541324.99,10014
2025-12-29T01:10:04.470000,EURUSD,1,495413.25,10014
2025-12-29T01:10:04.474000,GBPUSD,1,495413.25,10014
2025-12-29T01:10:04.478000,USDCAD,1,677418.17,10014
2025-12-29T01:10:04.483000,XAUUSD,-1,495413.25,10014
2025-12-29T01:10:04.490000,US500.cash,1,49541324.99,10014
2025-12-29T01:10:09.495000,EURUSD,1,495413.25,10014
2025-12-29T01:10:09.497000,GBPUSD,1,495413.25,10014
2025-12-29T01:10:09.498000,AUDUSD,1,495413.25,10014
2025-12-29T01:10:09.498000,NZDUSD,1,495413.25,10014
2025-12-29T01:10:09.498000,XAUUSD,-1,495413.25,10014
2025-12-29T01:10:09.506000,BTCUSD,-1,49541325.17,10014
2025-12-29T01:10:09.509000,ETHUSD,-1,4954132.5,10014
2025-12-29T01:10:09.516000,US500.cash,1,49541324.99,10014
2025-12-29T01:10:09.519000,JP225.cash,-1,773310358.3,10014
2025-12-29T01:10:14.524000,EURUSD,1,495413.25,10014
2025-12-29T01:10:14.524000,GBPUSD,1,495413.25,10014
2025-12-29T01:10:14.531000,XAUUSD,-1,495413.25,10014
2025-12-29T01:10:14.533000,BTCUSD,-1,49541325.17,10014
2025-12-29T01:10:14.538000,ETHUSD,-1,4954132.5,10014
2025-12-29T01:10:14.543000,JP225.cash,-1,773325220.69,10014
2025-12-29T01:10:19.548000,GBPUSD,1,495413.25,10014
2025-12-29T01:10:19.552000,USDCHF,-1,390935.55,10014
2025-12-29T01:10:19.553000,XAUUSD,-1,495413.25,10014
2025-12-29T01:10:19.555000,BTCUSD,-1,49541325.17,10014
2025-12-29T01:10:19.558000,ETHUSD,-1,4954132.5,10014
2025-12-29T01:10:19.560000,JP225.cash,-1,773374762.02,10014
2025-12-29T01:10:24.564000,XAUUSD,-1,495413.25,10014
2025-12-29T01:10:24.569000,JP225.cash,-1,773409440.95,10014
2025-12-29T01:10:29.577000,XAUUSD,-1,495413.25,10014
2025-12-29T01:10:29.582000,JP225.cash,-1,773439165.74,10014
2025-12-29T01:10:34.586000,GBPUSD,1,495413.25,10014
2025-12-29T01:10:34.590000,USDJPY,-1,773275.68,10014
2025-12-29T01:10:34.594000,USDCHF,-1,390940.5,10014
2025-12-29T01:10:34.597000,ETHUSD,-1,4954132.5,10014
2025-12-29T01:10:34.608000,JP225.cash,-1,773275679.37,10014
2025-12-29T01:10:39.611000,GBPUSD,1,495413.25,10014
2025-12-29T01:10:39.614000,USDJPY,-1,773270.73,10014
2025-12-29T01:10:39.614000,USDCHF,-1,390940.5,10014
2025-12-29T01:10:39.614000,JP225.cash,-1,773270725.24,10014
2025-12-29T01:10:44.623000,GBPUSD,1,495413.25,10014
2025-12-29T01:10:44.623000,USDJPY,-1,773216.23,10014
2025-12-29T01:10:44.623000,USDCHF,-1,390935.55,10014
2025-12-29T01:10:44.631000,XAUUSD,-1,495413.25,10014
2025-12-29T01:10:44.633000,JP225.cash,-1,773216229.78,10014
2025-12-29T01:10:49.639000,GBPUSD,1,495413.25,10014
2025-12-29T01:10:49.639000,USDJPY,-1,773161.73,10014
2025-12-29T01:10:49.639000,USDCHF,-1,390925.64,10014
2025-12-29T01:10:49.639000,JP225.cash,-1,773161734.32,10014
2025-12-29T01:10:54.652000,GBPUSD,1,495413.25,10014
2025-12-29T01:10:54.652000,USDJPY,-1,773196.41,10014
2025-12-29T01:10:54.652000,USDCHF,-1,390930.6,10014
2025-12-29T01:10:54.652000,XAUUSD,-1,495413.25,10014
2025-12-29T01:10:54.661000,JP225.cash,-1,773196413.25,10014
2025-12-29T01:10:59.664000,GBPUSD,1,495413.25,10014
2025-12-29T01:10:59.664000,USDJPY,-1,773191.46,10014
2025-12-29T01:10:59.671000,USDCHF,-1,390925.64,10014
2025-12-29T01:10:59.674000,JP225.cash,-1,773191459.12,10014
2025-12-29T01:11:04.678000,GBPUSD,1,495413.25,10014
2025-12-29T01:11:04.678000,USDJPY,-1,773201.37,10014
2025-12-29T01:11:04.682000,NZDUSD,1,495413.25,10014
2025-12-29T01:11:04.682000,USDCHF,-1,390920.69,10014
2025-12-29T01:11:04.688000,XAUUSD,-1,495413.25,10014
2025-12-29T01:11:04.691000,JP225.cash,-1,773201367.38,10014
2025-12-29T01:11:09.698000,USDJPY,-1,773201.37,10014
2025-12-29T01:11:09.698000,USDCHF,-1,390920.69,10014
2025-12-29T01:11:09.698000,XAUUSD,-1,495413.25,10014
2025-12-29T01:11:09.705000,US500.cash,1,49541324.99,10014
2025-12-29T01:11:09.711000,JP225.cash,-1,773201367.38,10014
2025-12-29T01:11:14.717000,USDJPY,-1,773245.95,10014
2025-12-29T01:11:14.717000,USDCHF,-1,390925.64,10014
2025-12-29T01:11:14.724000,XAUUSD,-1,495413.25,10014
2025-12-29T01:11:14.726000,US500.cash,1,49541324.99,10014
2025-12-29T01:11:14.730000,JP225.cash,-1,773216229.78,10014
2025-12-29T01:11:19.736000,USDJPY,-1,773206.32,10014
2025-12-29T01:11:19.737000,NZDUSD,1,495413.25,10014
2025-12-29T01:11:19.737000,USDCHF,-1,390920.69,10014
2025-12-29T01:11:19.737000,XAUUSD,-1,495413.25,10014
2025-12-29T01:11:19.745000,JP225.cash,-1,773206321.51,10014
2025-12-29T01:11:24.749000,USDJPY,-1,773211.28,10014
2025-12-29T01:11:24.751000,USDCHF,-1,390915.73,10014
2025-12-29T01:11:24.755000,XAUUSD,-1,495413.25,10014
2025-12-29T01:11:24.760000,JP225.cash,-1,773211275.65,10014
2025-12-29T01:11:29.766000,AUDUSD,1,495413.25,10014
2025-12-29T01:11:29.766000,NZDUSD,1,495413.25,10014
2025-12-29T01:11:29.766000,USDCHF,-1,390935.55,10014
2025-12-29T01:11:29.766000,BTCUSD,-1,49541325.17,10014
2025-12-29T01:11:34.780000,AUDUSD,1,495413.25,10014
